,id,latitude,longitude,price
0,6499,38.6975,-9.19768,73.0
1,25659,38.71241,-9.12706,106.0
2,29396,38.71156,-9.12987,75.0
3,29720,38.71108,-9.15979,1065.0
4,29915,38.74571,-9.15264,95.0
5,33348,38.76427,-9.15301,40.0
6,42519,38.71062,-9.149,60.0
7,48025,38.71195,-9.14463,95.0
8,50108,38.70388,-9.16546,108.0
9,76132,38.72727,-9.16273,55.0
10,83700,38.70018,-9.43272,71.0
12,103252,38.71838,-9.129015,92.0
13,107159,38.70065,-9.17491,360.0
15,119120,38.70927,-9.16122,112.0
17,122998,38.7127,-9.15215,87.0
19,125848,38.71478,-9.1241,58.0
20,129786,38.70853,-9.14613,93.0
21,83933,38.72092115283526,-9.128046411596074,81.0
22,84599,38.7106,-9.13689,248.0
23,89015,38.71299,-9.15004,79.0
24,91282,38.71879,-9.15853,100.0
25,286706,38.72486,-9.14329,96.0
26,291676,38.71308,-9.14514,115.0
27,291999,38.71099,-9.14829,129.0
28,130708,38.71806,-9.13738,44.0
29,133645,38.71091,-9.13251,68.0
30,134438,38.71841,-9.1233,85.0
31,135261,38.71298,-9.14541,135.0
32,137054,38.71236,-9.13129,74.0
33,137461,38.71413,-9.14425,95.0
34,138542,38.71821,-9.15398,160.0
35,138929,38.71231,-9.12918,68.0
36,138999,38.71064,-9.13278,109.0
37,140080,38.71308,-9.14514,84.0
38,297131,38.69918,-9.43981,119.0
39,299321,38.7213,-9.14437,90.0
40,301264,38.72199,-9.14002,99.0
41,301871,38.72419,-9.1474,99.0
42,303692,38.72138,-9.13945,99.0
43,304025,38.71308,-9.14514,82.0
44,141883,38.6961,-9.42215,86.0
45,144851,38.71261,-9.14456,97.0
46,148344,38.78666,-9.46231,195.0
48,149589,38.71331,-9.13314,85.0
49,155865,38.70546,-9.17579,80.0
50,172638,38.71112823486328,-9.129698753356934,109.0
51,176153,38.70781,-9.1451,105.0
52,306191,38.71279,-9.14503,63.0
53,307666,38.7787,-9.09634,91.0
54,307683,38.71143,-9.12778,55.0
55,311040,38.71235,-9.1275,97.0
56,311047,38.71252,-9.12911,98.0
57,322284,38.70989,-9.13637,141.0
58,178515,38.71133,-9.13093,60.0
59,178524,38.70916,-9.13222,78.0
60,179273,38.7469167,-9.2789757,24.0
61,186996,38.71677,-9.13359,64.0
62,187442,38.71095,-9.13192,148.0
63,189676,38.70997,-9.14864,115.0
64,193321,38.71971,-9.14339,36.0
65,198480,38.77596,-9.15101,70.0
66,199461,38.71095,-9.13673,199.0
67,324364,39.27423,-9.31898,731.0
68,327945,38.70943,-9.13722,67.0
69,335344,38.71386,-9.14483,91.0
70,336832,38.71248,-9.12961,114.0
71,344035,38.71112,-9.14799,85.0
72,348764,38.71246,-9.15262,63.0
73,349459,38.71418,-9.13572,75.0
76,208683,38.71052,-9.13365,53.0
77,211614,38.71015,-9.40746,70.0
78,211616,38.71315,-9.12715,85.0
79,214729,38.74825,-9.1459,30.0
80,217281,38.74877,-9.1478,22.0
82,220359,38.73513,-9.14904,64.0
83,220830,38.8917,-9.31176,65.0
84,227224,38.71102,-9.12995,55.0
85,229846,38.71478,-9.1241,60.0
86,349975,38.72541,-9.14519,97.0
87,351289,39.28958,-9.21641,90.0
88,354431,38.71446,-9.15179,165.0
90,362562,38.727,-9.16478,85.0
91,379156,38.70498,-9.17156,73.0
92,393700,38.71693,-9.148,179.0
93,395874,38.70691,-9.14846,67.0
94,396204,38.98615,-9.41622,135.0
95,234910,38.69914,-9.41998,77.0
96,249727,38.840667724609375,-9.46168041229248,198.0
97,250288,38.71379,-9.13521,53.0
98,250491,38.71686,-9.14014,82.0
99,250526,38.71004,-9.15209,81.0
101,257480,38.71343,-9.12557,77.0
102,257560,38.71081,-9.12816,80.0
103,403760,38.71337,-9.12548,108.0
104,405876,38.69641,-9.42494,120.0
105,407623,38.71732,-9.13098,90.0
106,416929,38.7338,-9.133,24.0
107,417448,38.71956,-9.14255,84.0
108,418945,38.71156,-9.21046,804.0
109,424664,39.23805,-9.12181,72.0
110,427653,38.71147,-9.13382,59.0
111,261733,38.71165,-9.1463,112.0
113,262616,38.71774,-9.15487,135.0
115,267235,38.7225,-9.15488,112.0
116,270591,39.10639,-9.2355,217.0
117,271430,38.71291,-9.14234,144.0
118,273835,38.69186,-9.35836,115.0
119,279549,38.71001,-9.14374,253.0
120,428784,38.71296,-9.1363,222.0
121,428785,38.7129,-9.13817,189.0
122,429865,38.805931091308594,-9.472200393676758,93.0
123,438431,38.71359,-9.12974,79.0
124,444996,38.71441,-9.14908,109.0
125,447832,38.7116263,-9.1461882,100.0
126,449923,38.70909,-9.40647,65.0
127,451351,38.70984,-9.13632,353.0
128,454217,38.71186,-9.12859,49.0
130,502180,38.71304,-9.14684,95.0
132,505847,38.71091,-9.13784,200.0
133,506047,38.71382,-9.14689,86.0
135,526914,38.70846,-9.19649,60.0
137,528892,38.89015,-9.31153,65.0
138,535226,38.72735,-9.13494,234.0
139,454267,38.7143,-9.13059,69.0
140,454298,38.71191,-9.12864,60.0
141,454306,38.71189,-9.12867,71.0
142,454328,38.71189,-9.12867,58.0
143,464021,38.69601,-9.42239,60.0
144,537107,38.71127,-9.13762,220.0
145,538364,38.7144889831543,-9.134299278259276,180.0
147,543049,38.71033,-9.14651,106.0
148,543783,38.71046,-9.13134,141.0
149,544784,38.71656,-9.13428,84.0
150,473519,38.7056,-9.23021,45.0
151,474818,38.71284,-9.13085,89.0
152,478989,38.71135,-9.13616,100.0
155,487394,38.71259,-9.12912,58.0
156,547502,38.69392,-9.37232,100.0
157,553492,39.1019,-9.28356,60.0
158,557764,38.7162,-9.13928,87.0
159,558363,38.7437,-9.14895,95.0
161,564050,38.71315,-9.12436,74.0
163,487633,38.71376,-9.1364,95.0
164,488241,38.71252,-9.1245,144.0
165,488694,38.71275,-9.12475,158.0
166,489178,38.71214,-9.12936,68.0
167,493274,38.72068,-9.13157,141.0
168,493438,38.73067,-9.13103,66.0
169,495237,38.7144,-9.12395,156.0
170,496725,38.84932,-9.45326,51.0
171,500107,38.71133,-9.14796,96.0
172,571283,38.70695,-9.44572,90.0
174,579469,38.73708,-9.14621,67.0
175,579988,38.80871,-9.45194,236.0
176,585175,38.71176,-9.147,77.0
178,594877,38.72344,-9.14339,58.0
179,596705,38.71212,-9.12934,66.0
180,706077,38.71326,-9.13509,123.0
181,707577,38.73319,-9.13452,36.0
183,713782,38.7109,-9.14157,360.0
184,715030,38.7178,-9.15326,67.0
185,715217,38.70782,-9.14607,70.0
186,718479,38.72621,-9.13421,280.0
187,597541,38.71038,-9.13534,100.0
188,600565,38.71158,-9.14377,101.0
189,601241,38.69962,-9.42424,100.0
192,604554,38.70952,-9.15025,56.0
193,605995,38.76198,-9.23031,60.0
194,607083,38.71456,-9.14727,70.0
195,607621,38.71509,-9.14644,264.0
196,718511,38.72621,-9.13421,336.0
197,720167,38.71089,-9.13044,82.0
198,720544,38.70933,-9.15136,72.0
199,724835,38.72719,-9.14868,76.0
200,725982,38.74346,-9.14105,96.0
202,730749,38.70361,-9.39368,86.0
203,608322,38.71104,-9.14523,124.0
204,610771,38.70953,-9.15028,56.0
205,612831,38.71386,-9.13664,83.0
206,619755,38.70047,-9.43292,77.0
207,625871,38.71294,-9.14233,98.0
208,629209,38.71101,-9.15092,95.0
210,632865,38.70926,-9.16124,87.0
211,737280,38.71063953556588,-9.148086054347328,21.0
212,739135,38.71267,-9.13556,90.0
